group,dataset_id,selected_base_model,count,frequency
education_evaluation,higher_education_students_performance,M4_sparse_interaction,10,1.0
education_evaluation,student_performance_math_no_prior_grades,M4_sparse_interaction,8,0.8
education_evaluation,student_performance_math_no_prior_grades,M5_full_flexible,2,0.2
education_evaluation,student_performance_math_with_prior_grades,M4_sparse_interaction,3,0.3
education_evaluation,student_performance_math_with_prior_grades,M5_full_flexible,7,0.7
education_evaluation,student_performance_portuguese_no_prior_grades,M4_sparse_interaction,8,0.8
education_evaluation,student_performance_portuguese_no_prior_grades,M5_full_flexible,2,0.2
education_evaluation,student_performance_portuguese_with_prior_grades,M4_sparse_interaction,7,0.7
education_evaluation,student_performance_portuguese_with_prior_grades,M5_full_flexible,3,0.3
health_risk_evaluation,maternal_health_risk,M1_linear_additive,1,0.1
health_risk_evaluation,maternal_health_risk,M3_nonmonotone_additive,3,0.3
health_risk_evaluation,maternal_health_risk,M4_sparse_interaction,4,0.4
health_risk_evaluation,maternal_health_risk,M5_full_flexible,2,0.2
monotone_classification,mcs_bcc,M1_linear_additive,1,0.1
monotone_classification,mcs_bcc,M4_sparse_interaction,7,0.7
monotone_classification,mcs_bcc,M5_full_flexible,2,0.2
monotone_classification,mcs_cev,M1_linear_additive,4,0.4
monotone_classification,mcs_cev,M4_sparse_interaction,2,0.2
monotone_classification,mcs_cev,M5_full_flexible,4,0.4
monotone_classification,mcs_cpu,M1_linear_additive,1,0.1
monotone_classification,mcs_cpu,M3_nonmonotone_additive,1,0.1
monotone_classification,mcs_cpu,M4_sparse_interaction,5,0.5
monotone_classification,mcs_cpu,M5_full_flexible,3,0.3
monotone_classification,mcs_dbs,M1_linear_additive,2,0.2
monotone_classification,mcs_dbs,M2_monotone_additive,1,0.1
monotone_classification,mcs_dbs,M4_sparse_interaction,7,0.7
monotone_classification,mcs_era,M1_linear_additive,9,0.9
monotone_classification,mcs_era,M4_sparse_interaction,1,0.1
monotone_classification,mcs_esl,M1_linear_additive,7,0.7
monotone_classification,mcs_esl,M4_sparse_interaction,3,0.3
monotone_classification,mcs_lev,M1_linear_additive,10,1.0
monotone_classification,mcs_mmg,M1_linear_additive,10,1.0
monotone_classification,mcs_mpg,M1_linear_additive,3,0.3
monotone_classification,mcs_mpg,M4_sparse_interaction,7,0.7
polish_research_units,polish_research_units_all,M1_linear_additive,7,0.7
polish_research_units,polish_research_units_all,M4_sparse_interaction,3,0.3
polish_research_units,polish_research_units_hs,M1_linear_additive,5,0.5
polish_research_units,polish_research_units_hs,M2_monotone_additive,1,0.1
polish_research_units,polish_research_units_hs,M3_nonmonotone_additive,3,0.3
polish_research_units,polish_research_units_hs,M4_sparse_interaction,1,0.1
polish_research_units,polish_research_units_njn,M1_linear_additive,6,0.6
polish_research_units,polish_research_units_njn,M3_nonmonotone_additive,2,0.2
polish_research_units,polish_research_units_njn,M4_sparse_interaction,2,0.2
polish_research_units,polish_research_units_nz,M1_linear_additive,4,0.4
polish_research_units,polish_research_units_nz,M3_nonmonotone_additive,1,0.1
polish_research_units,polish_research_units_nz,M4_sparse_interaction,3,0.3
polish_research_units,polish_research_units_nz,M5_full_flexible,2,0.2
polish_research_units,polish_research_units_si,M1_linear_additive,2,0.2
polish_research_units,polish_research_units_si,M3_nonmonotone_additive,5,0.5
polish_research_units,polish_research_units_si,M4_sparse_interaction,2,0.2
polish_research_units,polish_research_units_si,M5_full_flexible,1,0.1
polish_research_units,polish_research_units_ta,M1_linear_additive,1,0.1
polish_research_units,polish_research_units_ta,M4_sparse_interaction,4,0.4
polish_research_units,polish_research_units_ta,M5_full_flexible,5,0.5
qs_university_rankings,qs_2020_top500_common6,M1_linear_additive,7,0.7
qs_university_rankings,qs_2020_top500_common6,M4_sparse_interaction,1,0.1
qs_university_rankings,qs_2020_top500_common6,M5_full_flexible,2,0.2
qs_university_rankings,qs_2022_top500_common6,M1_linear_additive,7,0.7
qs_university_rankings,qs_2022_top500_common6,M4_sparse_interaction,1,0.1
qs_university_rankings,qs_2022_top500_common6,M5_full_flexible,2,0.2
qs_university_rankings,qs_2026_top500_all10,M1_linear_additive,1,0.1
qs_university_rankings,qs_2026_top500_all10,M4_sparse_interaction,4,0.4
qs_university_rankings,qs_2026_top500_all10,M5_full_flexible,5,0.5
qs_university_rankings,qs_2026_top500_common6,M1_linear_additive,2,0.2
qs_university_rankings,qs_2026_top500_common6,M4_sparse_interaction,2,0.2
qs_university_rankings,qs_2026_top500_common6,M5_full_flexible,6,0.6
synthetic_structure_recovery,synthetic_mixed_structure,M5_full_flexible,10,1.0
synthetic_structure_recovery,synthetic_monotone_additive,M1_linear_additive,10,1.0
synthetic_structure_recovery,synthetic_nonmonotone_marginals,M3_nonmonotone_additive,9,0.9
synthetic_structure_recovery,synthetic_nonmonotone_marginals,M5_full_flexible,1,0.1
synthetic_structure_recovery,synthetic_sparse_interactions,M4_sparse_interaction,8,0.8
synthetic_structure_recovery,synthetic_sparse_interactions,M5_full_flexible,2,0.2
toc_uco_ordinal_classification,toc_uco_oc03_balancescale,M3_nonmonotone_additive,9,0.9
toc_uco_ordinal_classification,toc_uco_oc03_balancescale,M4_sparse_interaction,1,0.1
toc_uco_ordinal_classification,toc_uco_oc03_mammoexp,M1_linear_additive,2,0.2
toc_uco_ordinal_classification,toc_uco_oc03_mammoexp,M3_nonmonotone_additive,1,0.1
toc_uco_ordinal_classification,toc_uco_oc03_mammoexp,M4_sparse_interaction,4,0.4
toc_uco_ordinal_classification,toc_uco_oc03_mammoexp,M5_full_flexible,3,0.3
toc_uco_ordinal_classification,toc_uco_oc03_newthyroid,M1_linear_additive,6,0.6
toc_uco_ordinal_classification,toc_uco_oc03_newthyroid,M3_nonmonotone_additive,3,0.3
toc_uco_ordinal_classification,toc_uco_oc03_newthyroid,M4_sparse_interaction,1,0.1
toc_uco_ordinal_classification,toc_uco_oc03_tae,M4_sparse_interaction,8,0.8
toc_uco_ordinal_classification,toc_uco_oc03_tae,M5_full_flexible,2,0.2
toc_uco_ordinal_classification,toc_uco_oc04_car,M4_sparse_interaction,10,1.0
toc_uco_ordinal_classification,toc_uco_oc04_childrenanemia,M1_linear_additive,10,1.0
toc_uco_ordinal_classification,toc_uco_oc04_gymexercisetracking,M1_linear_additive,2,0.2
toc_uco_ordinal_classification,toc_uco_oc04_gymexercisetracking,M2_monotone_additive,4,0.4
toc_uco_ordinal_classification,toc_uco_oc04_gymexercisetracking,M3_nonmonotone_additive,1,0.1
toc_uco_ordinal_classification,toc_uco_oc04_gymexercisetracking,M4_sparse_interaction,2,0.2
toc_uco_ordinal_classification,toc_uco_oc04_gymexercisetracking,M5_full_flexible,1,0.1
toc_uco_ordinal_classification,toc_uco_oc04_heartdisease,M4_sparse_interaction,6,0.6
toc_uco_ordinal_classification,toc_uco_oc04_heartdisease,M5_full_flexible,4,0.4
toc_uco_ordinal_classification,toc_uco_oc04_lestsensors,M3_nonmonotone_additive,10,1.0
toc_uco_ordinal_classification,toc_uco_oc04_levxsensors,M1_linear_additive,8,0.8
toc_uco_ordinal_classification,toc_uco_oc04_levxsensors,M3_nonmonotone_additive,2,0.2
toc_uco_ordinal_classification,toc_uco_oc04_problematicinternetusage,M4_sparse_interaction,10,1.0
toc_uco_ordinal_classification,toc_uco_oc04_support,M4_sparse_interaction,4,0.4
toc_uco_ordinal_classification,toc_uco_oc04_support,M5_full_flexible,6,0.6
toc_uco_ordinal_classification,toc_uco_oc04_swd,M3_nonmonotone_additive,1,0.1
toc_uco_ordinal_classification,toc_uco_oc04_swd,M4_sparse_interaction,6,0.6
toc_uco_ordinal_classification,toc_uco_oc04_swd,M5_full_flexible,3,0.3
toc_uco_ordinal_classification,toc_uco_oc05_eucalyptus,M1_linear_additive,1,0.1
toc_uco_ordinal_classification,toc_uco_oc05_eucalyptus,M2_monotone_additive,3,0.3
toc_uco_ordinal_classification,toc_uco_oc05_eucalyptus,M4_sparse_interaction,3,0.3
toc_uco_ordinal_classification,toc_uco_oc05_eucalyptus,M5_full_flexible,3,0.3
toc_uco_ordinal_classification,toc_uco_oc05_lev,M1_linear_additive,6,0.6
toc_uco_ordinal_classification,toc_uco_oc05_lev,M3_nonmonotone_additive,1,0.1
toc_uco_ordinal_classification,toc_uco_oc05_lev,M4_sparse_interaction,3,0.3
toc_uco_ordinal_classification,toc_uco_oc05_nhanes,M2_monotone_additive,8,0.8
toc_uco_ordinal_classification,toc_uco_oc05_nhanes,M4_sparse_interaction,2,0.2
toc_uco_ordinal_classification,toc_uco_oc05_vlbw,M4_sparse_interaction,5,0.5
toc_uco_ordinal_classification,toc_uco_oc05_vlbw,M5_full_flexible,5,0.5
toc_uco_ordinal_classification,toc_uco_oc05_winequalityred,M2_monotone_additive,9,0.9
toc_uco_ordinal_classification,toc_uco_oc05_winequalityred,M4_sparse_interaction,1,0.1
toc_uco_ordinal_classification,toc_uco_oc06_esl,M1_linear_additive,6,0.6
toc_uco_ordinal_classification,toc_uco_oc06_esl,M3_nonmonotone_additive,2,0.2
toc_uco_ordinal_classification,toc_uco_oc06_esl,M4_sparse_interaction,2,0.2
toc_uco_ordinal_classification,toc_uco_oc08_studentperformance,M4_sparse_interaction,8,0.8
toc_uco_ordinal_classification,toc_uco_oc08_studentperformance,M5_full_flexible,2,0.2
toc_uco_ordinal_classification,toc_uco_oc09_era,M1_linear_additive,6,0.6
toc_uco_ordinal_classification,toc_uco_oc09_era,M4_sparse_interaction,4,0.4
toc_uco_ordinal_classification,toc_uco_oc10_melbourneairbnb,M1_linear_additive,4,0.4
toc_uco_ordinal_classification,toc_uco_oc10_melbourneairbnb,M4_sparse_interaction,6,0.6
wine_quality,wine_quality_combined,M1_linear_additive,4,0.4
wine_quality,wine_quality_combined,M2_monotone_additive,1,0.1
wine_quality,wine_quality_combined,M4_sparse_interaction,5,0.5
wine_quality,wine_quality_red,M2_monotone_additive,7,0.7
wine_quality,wine_quality_red,M4_sparse_interaction,3,0.3
wine_quality,wine_quality_white,M4_sparse_interaction,10,1.0
